date,experiment_id,hypothesis,change,motivation,training_window,validation_window,metric,result,decision,notes
2026-08-31,W3-001,The six factors are not six independent bets,Built the aligned six-factor rank panel and measured cross-sectional rank and daily portfolio-return correlations,"Week 2 decile shapes suggested momentum, volatility, drawdown and residual momentum share one distressed/high-volatility exposure",n/a (no fitting),2006-02-01 to 2023-11-30,Mean daily rank correlation; daily gross portfolio-return correlation,"rmom vs mom: rank 0.73, returns 0.76. rvol vs dd: rank -0.48 but returns +0.87. mom vs dd returns 0.75. Only rev_5 and vs_20 are distinct; vs_20's book has no return correlation above 0.17",Treat the four as one cluster; let Week 4 models set weights rather than assuming an equal composite,Return correlation is the informative measure: mom and rvol look independent by rank (-0.10) but their books correlate 0.46
2026-08-31,W3-002,Walk-forward folds must be purged by the target horizon,Added ten fixed expanding-window folds with a 20-trading-day purge before each validation year,"An observation at t carries a target to t+20, so training to the boundary trains on validation-year returns",expanding from 2006-02-01,2014 to 2023 (final fold capped at 2023-11-30),Fold structure; purge length,"Ten folds, train 1973 to 4239 days, exactly 20 trading days purged in every fold, final validation stops 2023-11-30",Fix these splits for Weeks 4-5,No fold can reach the sealed period
2026-08-31,W3-003,A dollar-neutral rank-weighted book is a usable baseline,"Built the capped, dollar-neutral, 20-day staggered-cohort portfolio with daily P&L, turnover, costs and exposures",Week 2's single-offset rebalance was an unstable estimator; staggered cohorts use every start date at once,n/a (no fitting),2006-02-02 to 2023-12-29,Gross/net Sharpe; turnover; breakeven; market beta,"Composite gross Sharpe 0.121, breakeven 8.7bp, net -0.018 at 10bp. Nothing clears 10bp. Position cap never binds (largest position 0.35% vs 1% cap). Fast signals self-cancel across cohorts: gross exposure 0.39-0.44 for vs_20 and rev_5",Adopt as the Week 4 baseline,"Dollar-neutral is not beta-neutral: rvol beta -0.34, dd -0.28, composite -0.23, negative in every rolling window"
2026-08-31,W3-004,Rank-continuous weights capture more of these signals than tail deciles,Ran both weightings through the identical staggered-cohort estimator so the comparison isolates the weighting,Week 2 argued rank weights should help because five of six factors have hump-shaped deciles,n/a (no fitting),2006-02-02 to 2023-12-29,Gross Sharpe and turnover under each weighting,"REJECTED. Decile weighting wins 5 of 7 on gross Sharpe and 6 of 7 on turnover. Best net book overall is the decile composite: Sharpe 0.001 at 10bp and 10.1bp breakeven, vs -0.018 and 8.7bp for rank","Keep rank weighting as the pre-declared Week 4 baseline anyway, and carry both forward","The Week 2 mechanism was right but the conclusion backwards: rank weights do not avoid the broken tail buckets, they add the low-signal middle 80% and its turnover. Switching the baseline after seeing the winner would be the degrees-of-freedom problem the protocol prevents."
2026-09-10,W4-001,A model fitted on the six factor ranks forecasts the 20-day cross-sectional return better than an equal-weighted composite,"Added src/models/walk_forward.py: OLS, Ridge and HistGradientBoosting fitted independently in each of the ten folds",Week 3 showed the composite loads mostly on one correlated cluster; a fitted model can reweight toward the independent signals,"Expanding, 2006-02-01 to each fold train_end (3.0M to 6.9M rows)","Ten fixed folds, 2014-2023, 4293065 scored rows per model","Out-of-sample R2, Pearson IC, rank IC with Newey-West t at 20 lags","OOS R2 negative for all three (-0.00065 ols, -0.00065 ridge, -0.00042 gbm); rank IC 0.0220 ols (t 8.82), 0.0221 ridge (t 8.59), 0.0197 gbm (t 7.74)",Keep,No point-prediction skill; the entire edge is in cross-sectional ordering. gbm has the highest Pearson IC and the lowest rank IC. LightGBM not installed; sklearn histogram booster used instead
2026-09-10,W4-002,Model-driven books beat the pre-registered composite net of costs,Fed each model's predictions through the unchanged Week 3 staggered-cohort backtest under rank and decile weighting,A significant IC does not imply a tradable book; Week 2 already found one case where it did not,Same as W4-001,"Ten folds concatenated into one continuous 2014-2023 daily series, 2496 days","Gross and net Sharpe at 1/5/10/20 bp, breakeven bp, turnover, beta, max drawdown",Composite gross Sharpe 0.333 and breakeven 25.0 bp beats every model; best model gbm__decile 0.174 and 10.5 bp; ols and ridge net-negative at 10 bp,Reject the models,Null result. Models trade more for less: ols earns 0.74% gross on a 0.70 book at 6.8x turnover against the composite's 2.81% on a 0.90 book at 5.6x
2026-09-10,W4-003,The Week 3 headline is a valid comparison bar for Week 4,Recomputed the composite through identical per-fold machinery restricted to the 2014-2023 validation dates,"Comparing a 2014-2023 model against a 2006-2023 baseline would be a window artefact, not a result",None; the composite is not fitted,2014-01-02 to 2023-11-30,"Gross Sharpe and breakeven bp on matched dates, plus t-statistics on sub-period difference",Composite gross Sharpe 0.121 over 2006-2023 becomes 0.333 over 2014-2023; breakeven 8.7 bp becomes 25.0 bp; reproduces the Week 3 daily series to 1e-16,Replace the bar,The 0.147 / 10.1 bp target in PROGRESS.md was stale. Sub-period Sharpe difference is +0.441 with SE 0.477 (t 0.92): no evidence the decades differ. Every book in the study has |t| <= 1.06 against zero
2026-09-10,W4-004,Inner-validation MSE identifies the Ridge penalty,Probed the alpha grid beyond its pre-registered upper bound and measured the effect on the cross-sectional ordering,"The search returned the grid maximum in all ten folds, which means the grid, not the data, chose the value",Fold 10 training rows only,Fold 10 inner-validation split,"Inner MSE across alpha, and mean daily cross-sectional Spearman correlation between prediction sets",MSE falls monotonically out to alpha 1e10 for a total 0.005% improvement; predictions at alpha 1e4 and 1e10 correlate only 0.86 by daily rank,"Keep the pre-registered grid, change the criterion in Week 5","MSE cannot identify the alpha yet the alpha materially changes the portfolio: ridge rotates coefficients rather than scaling them, so momentum's loading flips sign. Not retuned after the fact, by protocol"
2026-09-10,W4-005,The 20-day warm-up block used to pre-ramp each fold's book is safe,"Removed the warm-up: predictions and cohorts are validation-only, and the ten folds run as one continuous 2014-2023 backtest with cohorts carrying across annual model changes","A model fit through train_end has already seen the returns realised during train_end+1..train_end+20, which is exactly the warm-up window, so cohorts formed there trade on look-ahead","Unchanged, expanding to each fold train_end","2014-01-03 to 2023-12-29, one continuous 2515-day series, all eight books on an identical date index",Gross Sharpe before and after removing the warm-up,"Model books fell 31-43% of gross Sharpe (gbm__decile 0.174 to 0.099); composite fell 11% (0.333 to 0.297), which is the ramp window and year-end tails alone since it depends on no fitted model",Correct and recompute,Withdrew the first version's portfolio numbers. Prediction IC/R2 unaffected: scored rows were never in the warm-up. Also fixed an unintended per-fold cohort reset that truncated year-end tail P&L. Composite reproduces the Week 3 daily series exactly except the 19 ramp days. Regression test added
2026-09-10,W4-006,Sharpe x sqrt(years) is adequate inference for these books,"Replaced portfolio t-statistics with Newey-West HAC at 20 lags on mean daily gross return, reporting both","20 staggered daily cohorts induce serial dependence in the daily series, so the naive statistic overstates precision",Not applicable,2014-01-03 to 2023-12-29,HAC t-statistic at 20 lags versus naive Sharpe x sqrt(years),Composite HAC t 1.01 (naive 0.94); every model book 0.26-0.32; the two statistics agree to within 0.07 everywhere,Adopt HAC,"The correction is mild here but the verdict is unchanged and now defensible: no book in the study, baseline included, is distinguishable from zero. Ridge deliberately not retuned; rank-IC selection deferred to Week 5 as a declared training-only robustness experiment"
2026-09-10,W5-001,"CRSP SICCD in this export is point-in-time, not a backfilled header field",Audited SICCD against the SecInfoStartDt/SecInfoEndDt interval records on the raw export before using it,Week 1 already found SecurityActiveFlg unusable point-in-time; sector must be audited the same way before it is trusted,"Not applicable; structural audit of 96,826 security-info records",Not applicable,"Distinct SICCD per PERMNO, header-row agreement, sentinel rate","12,079 of 21,548 PERMNOs carry more than one SICCD over time, tied to SecInfo intervals, so it is not backfilled. Header row matches the first interval more often (7,420) than the last (3,137), so the header must not be used. 9,535 of 96,826 rows (9.8%) are sentinel 0/9999/empty, clustering on end-of-life stubs",Use SICCD via the interval join only,"PRE-DECLARED before any neutralisation result was seen. Limitation: time-varying structure shows the field is not uniformly backfilled but cannot prove a reclassification was recorded when publicly known rather than at its effective date. Sentinel codes carry the prior interval forward, never a later one"
2026-09-10,W5-002,"Point-in-time sector, rolling beta and log market cap can be built as t-1 exposures without leakage","Build src/features/exposures.py: SIC-division sector from the interval join, rolling market beta over the existing 252-day estimation window ending t-1, and log market cap at t-1","Neutralisation requires exposures known at the same moment as the factors themselves, which is the close of t-1",Not applicable; exposure construction,Not applicable,"Coverage on the aligned panel, and a leakage test perturbing every input at or after t","PRE-DECLARED, not yet run",PRE-DECLARED,"Sector granularity fixed in advance at roughly 12 groups: 81 two-digit SIC groups against ~1,660 names per date is ~20 per bucket, too thin for stable residualisation. Every exposure must pass the same at-or-after-t perturbation test the six factors pass"
2026-09-10,W5-003,"Cross-sectionally residualising scores against sector, beta and size improves risk-adjusted net performance","Residualise the composite and each model score per date against the three exposures, then rerun the unchanged continuous backtest","Week 3 and Week 4 both found every book carries a persistent short market beta (-0.14 to -0.27) and loads on one correlated cluster, so no result so far can be called alpha",Unchanged ten folds,2014-01-02 to 2023-11-30 formation; P&L to 2023-12-29,"Raw versus neutralised rank IC, HAC t, turnover, realised beta, net Sharpe at 1/5/10/20 bp, breakeven","PRE-DECLARED, not yet run",PRE-DECLARED,"Success is declared in advance as: realised market beta materially closer to zero AND net Sharpe at 10 bp no worse than the raw book. Neutralisation that only lowers beta by destroying return is a failure, not a win. Both rank and decile weighting carried"
2026-09-10,W5-004,Each of the six factors contributes to the composite,"Leave-one-out ablation: rebuild the composite six times, each dropping one factor, through the identical estimator",Week 3 found rmom is 0.76 correlated with mom by portfolio return and rvol/dd books correlate 0.87; if those are duplicates the composite may be carrying redundant turnover,Not applicable; the composite is not fitted,Same as W5-003,"Gross and net Sharpe, HAC t, turnover, breakeven per ablated composite","PRE-DECLARED, not yet run",PRE-DECLARED,"Interpretation fixed in advance: dropping a factor that leaves net Sharpe unchanged or better means that factor is redundant, not that it is harmful. No factor will be dropped on ablation evidence alone unless the full specification lock in W5-006 selects it"
2026-09-10,W5-005,"Results are stable across volatility regimes, sub-periods, cost assumptions and rebalance frequency","Split the continuous series by trailing market-volatility tercile and by sub-period, sweep costs, and rerun at a limited set of rebalance horizons","Every headline so far has a HAC t near or below 1.0, so apparent performance could be concentrated in one regime or one horizon choice",Same as W5-003,Same as W5-003,"Sharpe and HAC t within each regime and sub-period, cost curve, Sharpe by rebalance horizon","PRE-DECLARED, not yet run",PRE-DECLARED,Rebalance horizons limited to a small pre-declared set to avoid a horizon search. A specification is not called robust because one slice looks good; the reported statistic is the dispersion across slices
2026-09-10,W5-006,One final specification can be locked before the sealed period is opened,"Select a single book -- weighting, neutralisation and factor set -- and freeze it",Week 6 opens 2024-2025 exactly once; the specification must be fixed beforehand or the final test is not a test,All ten folds,Locked before any 2024-2025 observation is read,"Declared before selection: net Sharpe at 10 bp on 2014-2023, subject to realised beta within 0.10 of zero","PRE-DECLARED, not yet run",PRE-DECLARED,"Selection rule is fixed here in advance so it cannot be chosen after seeing W5-003 to W5-005. If no book satisfies the beta constraint, the constraint is reported as unmet rather than relaxed to admit a winner"
2026-09-10,W5-002R,Result for W5-002,Built src/features/exposures.py and data/processed/exposures/,See W5-002,Not applicable,Not applicable,Coverage on the aligned panel and an at-or-after-t leakage test,"100.0% coverage for sector, beta_252 and log_mcap on all 8,319,133 aligned rows; 9-11 sectors per date; 454 rows carried a sentinel sector forward; five tests pass including the perturbation test",Accept,"Complete coverage is not luck: Week 1 eligibility already requires 252 prior returns, exactly what the beta window needs. beta_252 spans -10.9 to +7.1, so it and log_mcap are winsorised at 1/99 before being regressed against"
2026-09-10,W5-003R,Result for W5-003,"Residualised the composite and all three model scores per date against sector, beta and size, then reran the unchanged continuous backtest",See W5-003,Unchanged ten folds,2014-01-02 to 2023-11-30 formation; P&L to 2023-12-29,Pre-declared: beta materially closer to zero AND net Sharpe at 10 bp no worse than raw,"FAIL in 7 of 8 books. Every book shed 75-98% of realised beta, so leg one passes everywhere; leg two fails because net Sharpe at 10 bp worsens. Only composite__decile passes both (beta -0.266 to -0.057, net@10bp +0.155 to +0.209, gross 0.297 to 0.486, HAC t 0.99 to 1.53)",Record the failure,"Mechanism: neutralisation halves annualised volatility (8.43% to 4.12%) while turnover and dollar cost drag stay flat (5.64x to 5.72x; 1.13% to 1.14%), so a fixed cost is charged against half the risk budget. Not levered away, since net Sharpe is leverage-invariant. Judged on gross Sharpe alone ols and ridge nearly tripled and this would have been logged as a win"
2026-09-10,W5-004R,Result for W5-004,"Leave-one-out ablation over the six factors, both weightings",See W5-004,Not applicable,Same as W5-003R,"Gross and net Sharpe, HAC t, turnover, breakeven per ablated composite","Redundant by the pre-declared rule: rmom_120_20 and vs_20. Not redundant: mom_120_20 and rev_5. Inconclusive: rvol_20 and dd_252, which help one weighting and hurt the other. Every ablated book sits at HAC |t| 0.81 to 1.29",Drop nothing,"Of the mom/rmom pair Week 3 found 0.76-correlated, momentum is the half the composite needs and residual momentum is the spare, matching Week 4's exposure table (0.471 against 0.355)"
2026-09-10,W5-005R,Result for W5-005,"Volatility-tercile, sub-period, cost and rebalance-horizon splits",See W5-005,Not applicable,Same as W5-003R,"Sharpe and HAC t per slice; cost curve; Sharpe, turnover and breakeven per horizon","Low-vol tercile HAC t 2.43 and calendar 2018 t 2.21, both best-of-many ex-post slices and neither treated as a finding. Cost breakeven reproduces at 22.2 bp rank and 20.9 bp decile. Across horizons {5,10,20,40} gross Sharpe moves only 0.297-0.383 and HAC t stays 1.00-1.27, but breakeven swings 10.4 to 38.5 bp","Report dispersion, recommend no horizon","The breakeven figure quoted throughout this project is fragile to an arbitrary holding-period choice, swinging 3.7x, driven by turnover falling fivefold. Tercile boundaries are full-sample quantiles, so the regime split is descriptive and not implementable in real time"
2026-09-10,W5-006R,Result for W5-006,Applied the pre-declared selection rule mechanically to all 28 candidate books from Weeks 3-5,See W5-006,All ten folds,Locked before any 2024-2025 observation is read,Pre-declared: max net Sharpe at 10 bp subject to realised beta within 0.10 of zero,"Only 8 of 28 books pass the beta constraint and all 8 are neutralised. Locked composite__decile__neutral: realised beta -0.057, gross Sharpe 0.486 (HAC t 1.53), net Sharpe at 10 bp +0.209",Lock and proceed to Week 6,"Three raw ablated composites with competitive net Sharpe (+0.183, +0.183, +0.174) were disqualified on beta alone, which is what the constraint was written to do. The lock is a procedural commitment, not a claim of edge: HAC t 1.53 is p about 0.13, the best in the program and still not significant, and the winner is the maximum of 8 correlated admissible estimates with no multiple-testing correction"
2026-09-10,W5-007,The W5-006 candidate grid gave the factor-set dimension a genuine chance to compete,Generated the 12 missing neutralised leave-one-out composites and reapplied the unchanged W5-006 rule from a programmatic candidate table,"The rule varies weighting, neutralisation and factor set, but only raw ablations were ever evaluated, and every raw ablation fails the beta constraint, so factor set could not compete",Unchanged ten folds,2014-01-02 to 2023-11-30 formation; P&L to 2023-12-29,"Pre-declared W5-006 rule, unchanged: max net Sharpe at 10 bp subject to |realised beta| <= 0.10","Grid went from 28 candidates with 8 admissible to 40 with 20; all 12 neutralised ablations pass the beta constraint where no raw ablation did. The winner CHANGED from composite__neutral__decile (net@10bp +0.209) to drop_rmom_120_20__neutral__decile (+0.238, beta -0.056, gross 0.534, HAC t 1.65)",Relock,"The rule was not modified, only applied to a complete grid. Margin over runner-up is 0.0103 and the top four books span 0.209-0.238, so the choice among them is inside the noise. The runner-up has the higher HAC t (1.97 vs 1.65): the rule selects on net Sharpe, not significance, as pre-registered. Completing the grid makes the selection statistically weaker, since the winner is now the max of 20 correlated admissible estimates rather than 8"
2026-09-10,W5-008,The Week 6 protocol is fully determined and cannot be run by accident,"Built src/evaluation/week6_final.py, which reads the lock file at runtime, hardcodes no book, and validates against a pre-2024 replay",A lock file naming a winner does not determine a run; unstated defaults would let the final test differ from the locked specification,Not applicable,"Replay over 2014-01-02 to 2023-11-30, P&L to 2023-12-29","Replay reproduction of the locked book's recorded Week 5 figures, and refusal behaviour","Replay reproduces realised beta, gross Sharpe, net Sharpe at 10 bp, HAC t and max drawdown to about 1e-15. Sealed mode requires the literal string run-sealed-2024-2025-exactly-once; no argument exits before any data is opened",Accept,"Refuses on a missing field, a factor sign disagreeing with FACTOR_SIGN, a recorded commit that is not an ancestor of HEAD, or an uncommitted src/ on the sealed path. Commit equality was rejected as a check because it is unsatisfiable: the lock file lives in the repo, so the commit containing it cannot equal the hash recorded inside it"
2026-09-10,W5-009,2024-2025 was literally untouched during Weeks 1-5,Restricted the exposure audit summary to dates through 2023-11-30 and disclosed the earlier full-history summary,"Exposures are built over full history because a t-1 rolling beta needs it, but the first audit summarised coverage and sector counts over 2024-2025 covariate rows",Not applicable,Not applicable,Whether any sealed-period statistic was computed or displayed,"Covariate summaries did span 2024-2025; no return, target or performance figure from the sealed period was ever computed. The winsorisation quantiles came from a beta range measured on a query restricted to dates through 2023-11-30, not from the full-history summary","Disclose, do not claim an untouched seal","The correct description is outcome-sealed, not untouched. Audit now ends at 2023-11-30 (aligned rows 7,351,850; exposure rows 19,107,452) and the module docstring states why summarising over full history is itself a leak of covariate distributions"
2026-09-10,W5-010,The frozen Week 6 runner would execute the locked specification correctly on the sealed period,"Fixed four blocking defects found in review before the sealed run: formation start, cohort cutoff, exactly-once enforcement and provenance authentication",A runner that merely names the right book does not execute the right test; each defect would have produced a plausible-looking but wrong final number,Not applicable,"Replay over 2014-01-02 to 2023-11-30, P&L to 2023-12-29; sealed period never executed","Derived dates against the panel calendar, refusal behaviour, and replay reproduction","P0: formation start inherited walk_forward_splits' default first validation year of 2014, so the sealed run would have evaluated 2014-2025 and reported ten in-sample years as the held-out test; now read off the panel as the first trading date on or after 2024-01-01 (2024-01-02) and asserted. P1: hardcoded cutoff 2025-11-30 is a Sunday resolving to 2025-11-28, two cohorts short; now derived as pnl_end_tdi - hold_days = 2025-12-02. P1: exactly-once now enforced by an O_CREAT|O_EXCL marker written before any sealed data is opened. P1: provenance now also covers the lock JSON and requires the runner's content at the recorded commit to be byte-identical to the executing file","Fix, commit, relock, hold for review","Replay unchanged at formation 2014-01-02 and cutoff 2023-11-30, still reproducing all five recorded Week 5 figures, so the fixes did not perturb the validation baseline. Rank IC now drops nulls explicitly with per-metric date coverage recorded, since forward_return_20d is absent for the last ~20 formation dates of 2025 and would otherwise become a silent NaN. 71 tests pass"
2026-09-10,W5-011,The locked specification is authenticated against the code that will execute it,"Committed the corrected runner (d326f25), regenerated the lock from the unchanged candidate table, and committed the relock (f60f075)","Commit equality is unsatisfiable because the lock lives in the repo, and ancestry alone does not prove the executing code is the frozen code",Not applicable,Not applicable,Winner and figures after regeneration; the three provenance guards,"Regeneration is deterministic: same winner drop_rmom_120_20__neutral__decile, same net Sharpe at 10 bp 0.2379, same beta -0.0562, same 40 candidates with 20 admissible, with the recorded commit moved to d326f25. All three guards now pass -- ancestry, clean src/ and lock, and byte-identical runner at the recorded commit","Ready for the sealed run, pending review",No final artifact or run marker exists; 2024-2025 performance is still unevaluated
2026-09-11,W6-001,"The specification locked in Week 5 forecasts 20-day cross-sectional returns out of sample, net of costs",Opened the sealed 2024-2025 period exactly once and ran drop_rmom_120_20__neutral__decile unchanged,"A specification chosen on 2014-2023 evidence is untested until it is run once, as declared, on data never evaluated",2014-2023 evidence only; nothing refitted for this run,2024-01-02 to 2025-12-02 formation; P&L 2024-01-03 to 2025-12-31; 501 days; rank IC on 482 formation dates,"Gross and net Sharpe with Newey-West HAC t at 20 lags, breakeven bp, turnover, realised beta, max drawdown, rank IC",Gross Sharpe 1.522 (HAC t 2.76); net Sharpe 1.491/1.368/1.215/0.909 at 1/5/10/20 bp; breakeven 49.7 bp; realised beta -0.065; max drawdown -4.1%; annual turnover 8.86x; mean rank IC 0.0364 (HAC t 4.63),Accept and stop,"Run once at commit 084f5eb against the specification locked at fbbe574; marker sealed_run_started.json prevents repetition. Profitable at every cost tier and beta stayed inside the 0.10 constraint out of sample, which it had no obligation to do"
2026-09-11,W6-002,The out-of-sample result is materially better than the in-sample estimate,Compared the sealed result against the same book's 2014-2023 figures,A tripling of Sharpe out of sample is a large favourable surprise and warrants more scepticism than a small one,2014-2023,2024-2025,Difference in gross Sharpe with its standard error,"Out-of-sample 1.522 against in-sample 0.534: difference +0.99, SE about 1.10, t about 0.90. Not significantly different. Approximate 95% interval on the out-of-sample Sharpe runs about -0.5 to 3.6",Do not claim improvement,"The hypothesis test and the estimate say different things and both are correct: the mean return is distinguishable from zero (HAC t 2.76) while the magnitude is barely pinned down. Using 1.52 as a forward expectation would be unsupported. Selection is not corrected for: the book is the max of 20 admissible correlated candidates, which normally biases expected out-of-sample performance downward, so the upside surprise is not explained by selection"
2026-09-11,W6-003,The W6-002 iid Sharpe-interval and iid-SE difference test are consistent with the headline HAC inference,"Recomputed the Sharpe confidence interval and the selection-sample-vs-sealed difference test using HAC-consistent standard errors (SE = SR/t, inverting the headline Newey-West t)","Reviewer flagged that quoting an iid interval (-0.5 to 3.6) beside a HAC t of 2.76 and calling both correct was incoherent -- they rest on different, incompatible assumptions about serial dependence",2014-2023,2024-2025,"95% CI on sealed Sharpe; t-stat of the selection-sample-vs-sealed Sharpe difference, both computed with HAC-consistent SE = SR/t in place of the iid SE = sqrt((1+SR^2/2)/years)","HAC 95% interval on sealed Sharpe is [0.44, 2.60] (SE 0.550), excluding zero, versus the iid sensitivity interval [-0.52, 3.56] (SE 1.042). The selection-sample-vs-sealed difference is t = 1.55 (SE 0.639) under HAC-consistent SEs, not the t = 0.90 (SE 1.10) reported in W6-002 under iid SEs",Correct and supersede W6-002's interval and difference-test figures; W6-002's point estimates and its qualitative conclusion (not significantly better) are unchanged and stand,"This is a correction to how uncertainty was quantified, not to what was measured. The HAC interval governs because it is derived from the same test statistic as the headline result; the iid interval is kept in the report only as an explicitly labelled sensitivity check, since it ignores the autocorrelation the staggered 20-day cohorts induce. Neither the sealed result nor the decision to stop research changes"
